,filename,score,num_of_evaluations
0,BJzcrQFjfsQ.jpg,18,20
1,BlSfwPHB5a_.jpg,16,20
2,BlsoWzlFesk.jpg,16,20
3,BmNTJPdHFLI.jpg,8,20
4,Bn-l8xXA1oe.jpg,3,20
5,Bn-mgscAGfH.jpg,7,20
6,Bo1lDTCBL9j.jpg,14,20
7,BoMUTAphCAL.jpg,17,20
8,BoqI5d9h1pi.jpg,7,20
9,BpEQqVMgzRJ.jpg,15,20
10,BpEyhasA9sF.jpg,16,20
11,BpFFLS-hIPb.jpg,18,20
12,BpGUO3IF7af.jpg,19,20
13,BpJv95dnC3n.jpg,0,20
14,BpO-0nKBR3g.jpg,16,20
15,BpO-2YOHIml.jpg,25,30
16,BpO-36fh5z1.jpg,1,29
17,BpO-68Qn_LO.jpg,16,30
18,BpO-aWxFgCf.jpg,6,29
19,BpO-AYqFD-9.jpg,14,30
20,BpO-KrVHw0w.jpg,28,30
21,BpO-KZQgOq9.jpg,15,30
22,BpO-mi9hw4Q.jpg,21,30
23,BpO-R-lhyAJ.jpg,18,30
24,BpO-yLhlUab.jpg,13,30
25,BpO0_FcASpA.jpg,1,30
26,BpO0Mtqjy34.jpg,24,30
27,BpO0uDfnBi5.jpg,7,30
28,BpO0W7gh2cq.jpg,13,30
29,BpO0YXWgDsn.jpg,23,30
30,BpO11j0glRl.jpg,19,30
31,BpO141_FQh6.jpg,0,30
32,BpO143NhqEb.jpg,21,30
33,BpO16eLHEL9.jpg,19,28
34,BpO19lyAv6o.jpg,26,29
35,BpO1fHOgd-G.jpg,23,30
36,BpO1jUYlrUR.jpg,21,30
37,BpO1lgYlchF.jpg,24,30
38,BpO1OICF3rN.jpg,28,30
39,BpO1tNrFkeC.jpg,22,30
40,BpO1xDxA4A-.jpg,4,29
41,BpO2b2Hl9Da.jpg,8,30
42,BpO2ERDHUwT.jpg,5,30
43,BpO2js4nb5h.jpg,13,30
44,BpO2LJenwNX.jpg,17,30
45,BpO2u0jAMgJ.jpg,0,30
46,BpO3-s6BiSe.jpg,23,29
47,BpO3c0cl9Tw.jpg,23,30
48,BpO3ervnW9K.jpg,13,30
49,BpO3oIQF1yF.jpg,23,30
50,BpO3oyWgw7p.jpg,0,30
51,BpO3rsDBaXA.jpg,21,29
52,BpO3UhwAo9w.jpg,23,30
53,BpO4bV8lqVc.jpg,10,30
54,BpO4D2bgefj.jpg,18,30
55,BpO4F-GAjYR.jpg,15,29
56,BpO4IG1Ajjh.jpg,7,30
57,BpO4kBBg0et.jpg,18,30
58,BpO4mYGAY7h.jpg,7,30
59,BpO4OusF1iB.jpg,23,30
60,BpO4s5zAhUa.jpg,22,30
61,BpO4Tozg7hs.jpg,6,30
62,BpO4uxGn3In.jpg,18,30
63,BpO4xVWnxnZ.jpg,13,30
64,BpO5_b5hF-H.jpg,22,30
65,BpO5BxYH65f.jpg,18,30
66,BpO5h_OAaHN.jpg,13,30
67,BpO5lZYgO2h.jpg,18,29
68,BpO5M9ZATA8.jpg,13,20
69,BpO5sePB8Pb.jpg,16,22
70,BpO5tFYhpeB.jpg,3,20
71,BpO5V8NlP1A.jpg,11,22
72,BpO63cmArlK.jpg,16,22
73,BpO6Dc9AHOF.jpg,9,22
74,BpO6G0igxFH.jpg,4,22
75,BpO6JwKgs3l.jpg,8,21
76,BpO6PkcBuSJ.jpg,8,21
77,BpO6Rq7DmPg.jpg,7,22
78,BpO6Rx1nvn1.jpg,11,22
79,BpO6T_-h44C.jpg,6,20
80,BpO6VfblVhx.jpg,10,20
81,BpO6vJKBqXS.jpg,12,22
82,BpO6wAen7mE.jpg,12,21
83,BpO73ACHeLv.jpg,17,21
84,BpO75R_nYuu.jpg,13,20
85,BpO79kBlP_5.jpg,3,21
86,BpO7bCTFBC_.jpg,13,20
87,BpO7ImEg3Jc.jpg,4,22
88,BpO7LnVFZRR.jpg,13,21
89,BpO7s85nj_c.jpg,13,22
90,BpO7XIOHrNh.jpg,5,22
91,BpO7xyTBryp.jpg,10,20
92,BpO8fEigvwL.jpg,4,20
93,BpO8GD4AglG.jpg,13,21
94,BpO8HfzH-b5.jpg,6,21
95,BpO8JueB_d2.jpg,4,20
96,BpO8mCNhQmh.jpg,1,20
97,BpO8PyNlXqd.jpg,10,23
98,BpO8vEeApJS.jpg,13,20
99,BpO96xHAC_r.jpg,6,21
100,BpO9o0MBkks.jpg,15,22
101,BpO9o8MHfu5.jpg,15,22
102,BpO9SnXHqsc.jpg,1,20
103,BpO9VTiB-ST.jpg,8,21
104,BpO9x4XAQfP.jpg,16,22
105,BpO_HN4BBWm.jpg,7,23
106,BpO_j04BM5b.jpg,10,21
107,BpO_o1QASag.jpg,17,20
108,BpO_QVIB6hZ.jpg,15,22
109,BpO_rtHgp_9.jpg,6,20
110,BpO_s-zg2U2.jpg,10,21
111,BpO_yzSAtO-.jpg,12,20
112,BpOGZajnu78.jpg,11,22
