,filename,score,num_of_evaluations,mean_score
0,BJzcrQFjfsQ.jpg,18,20,0.9
1,BlSfwPHB5a_.jpg,16,20,0.8
2,BlsoWzlFesk.jpg,16,20,0.8
3,BmNTJPdHFLI.jpg,8,20,0.4
4,Bn-l8xXA1oe.jpg,3,20,0.15
5,Bn-mgscAGfH.jpg,7,20,0.35
6,Bo1lDTCBL9j.jpg,14,20,0.7
7,BoMUTAphCAL.jpg,17,20,0.85
8,BoqI5d9h1pi.jpg,7,20,0.35
9,BpEQqVMgzRJ.jpg,15,20,0.75
10,BpEyhasA9sF.jpg,16,20,0.8
11,BpFFLS-hIPb.jpg,18,20,0.9
12,BpGUO3IF7af.jpg,19,20,0.95
13,BpJv95dnC3n.jpg,0,20,0.0
14,BpO-0nKBR3g.jpg,16,20,0.8
15,BpO-2YOHIml.jpg,25,30,0.8333333333333334
16,BpO-36fh5z1.jpg,1,29,0.034482758620689655
17,BpO-68Qn_LO.jpg,16,30,0.5333333333333333
19,BpO-AYqFD-9.jpg,14,30,0.4666666666666667
21,BpO-KZQgOq9.jpg,15,30,0.5
20,BpO-KrVHw0w.jpg,28,30,0.9333333333333333
23,BpO-R-lhyAJ.jpg,18,30,0.6
18,BpO-aWxFgCf.jpg,6,29,0.20689655172413793
22,BpO-mi9hw4Q.jpg,21,30,0.7
24,BpO-yLhlUab.jpg,13,30,0.43333333333333335
26,BpO0Mtqjy34.jpg,24,30,0.8
28,BpO0W7gh2cq.jpg,13,30,0.43333333333333335
29,BpO0YXWgDsn.jpg,23,30,0.7666666666666667
25,BpO0_FcASpA.jpg,1,30,0.03333333333333333
27,BpO0uDfnBi5.jpg,7,30,0.23333333333333334
30,BpO11j0glRl.jpg,19,30,0.6333333333333333
31,BpO141_FQh6.jpg,0,30,0.0
32,BpO143NhqEb.jpg,21,30,0.7
33,BpO16eLHEL9.jpg,19,28,0.6785714285714286
34,BpO19lyAv6o.jpg,26,29,0.896551724137931
38,BpO1OICF3rN.jpg,28,30,0.9333333333333333
35,BpO1fHOgd-G.jpg,23,30,0.7666666666666667
36,BpO1jUYlrUR.jpg,21,30,0.7
37,BpO1lgYlchF.jpg,24,30,0.8
39,BpO1tNrFkeC.jpg,22,30,0.7333333333333333
